Disaster,Location,District,Year,Month,Day,Rainfall(mm),Landslide
Landslide,Udahena (GN),Kurunegala,2000,12,26,139.0,1
Landslide,Udunuwara,Kandy,2000,11,9,373.6,0
Landslide,Rideegama,Kurunegala,2000,12,26,139.0,0
Landslide,Balangoda,Ratnapura,2000,4,8,517.6,0
Landslide,Balangoda,Ratnapura,2000,7,10,291.0,0
Landslide,Haputale,Badulla,2000,1,16,139.0,1
Landslide,Colombo-Badulla railway,Badulla,2000,1,16,139.0,0
Landslide,Udunuwara,Kandy,2000,11,9,373.6,1
Landslide,Durakanda(GN),Ratnapura,2000,10,7,561.4,0
Landslide,Dehigasthalawa(GN),Ratnapura,2000,8,4,300.6,0
Landslide,Udahena (GN) Udahena Andapola Kanda,Kurunegala,2000,12,26,139.0,1
Landslide,Udahena (GN) Udahena Andapola Kanda,Kurunegala,2000,12,26,139.0,0
Landslide,Nawa Peradeniya(GN),Kandy,2000,9,11,207.1,0
Landslide,Nawa Peradeniya(GN),Kandy,2000,9,11,207.1,1
Landslide,Balangoda,Ratnapura,2000,7,10,291.0,1
Landslide,Balangoda,Ratnapura,2000,4,8,517.6,1
Landslide,Durakanda(GN),Ratnapura,2000,10,7,561.4,1
Landslide,Dehigasthalawa(GN),Ratnapura,2000,8,4,300.6,1
Landslide,Colombo-Badulla railway,Badulla,2000,1,16,139.0,1
Landslide,Nemigala Kanda,Kurunegala,2000,12,26,139.0,0
Landslide,Rideegama,Kurunegala,2000,12,26,139.0,1
Landslide,Haputale,Badulla,2000,1,16,139.0,0
Landslide,Nemigala Kanda,Kurunegala,2000,12,26,139.0,1
Landslide,Udahena (GN),Kurunegala,2000,12,26,139.0,0
Landslide,Dangalla kanda,Hambantota,2001,4,2,118.0,0
Landslide,Imbulpe,Ratnapura,2001,1,18,195.0,0
Landslide,Wegapitiya (GN),Ratnapura,2001,1,18,195.0,1
Landslide,Dangalla kanda,Hambantota,2001,4,2,118.0,1
Landslide,Katuwana,Hambantota,2001,2,4,47.0,0
Landslide,Imbulpe,Ratnapura,2001,1,18,195.0,1
Landslide,Katuwana,Hambantota,2001,2,4,47.0,1
Landslide,Wegapitiya (GN),Ratnapura,2001,1,18,195.0,0
Landslide,Kothalathepiyawa Kanda,Kurunegala,2002,4,5,262.0,1
Landslide,Nugagaha Kivula(GN),Monaragala,2002,3,4,103.0,0
Landslide,Pallewawwa(GN),Hambantota,2002,8,5,64.0,0
Landslide,Haldummulla,Badulla,2002,5,6,141.0,1
Landslide,Imbulpe,Ratnapura,2002,10,5,561.4,1
Landslide,Liyanagoda(GN),Ratnapura,2002,11,19,547.8,1
Landslide,Siyambalanduwa,Monaragala,2002,4,3,182.0,1
Landslide,Demodara(GN),Badulla,2002,4,23,169.0,0
Landslide,Walasmulla(GN),Hambantota,2002,5,18,114.0,1
Landslide,Thennewela(GN),Kandy,2002,10,11,469.2,1
Landslide,Labuhenwala(GN),Kandy,2002,10,11,469.2,1
Landslide,Udailuka(GN),Kandy,2002,10,2,469.2,1
Landslide,Udadumbara,Kandy,2002,2,5,148.2,1
Landslide,Siyambalanduwa,Monaragala,2002,4,3,182.0,0
Landslide,Polpithigama,Kurunegala,2002,5,4,194.0,1
Landslide,Haldummulla,Badulla,2002,11,9,279.0,1
Landslide,Ella,Badulla,2002,4,23,169.0,0
Landslide,Udadumbara,Kandy,2002,2,10,148.2,0
Landslide,Walapalagolla North(GN),Kandy,2002,11,26,373.6,0
Landslide,Puwakgahawela(GN),Ratnapura,2002,5,10,473.2,0
Landslide,Haldummulla,Badulla,2002,5,6,141.0,0
Landslide,Nattarampotha(GN),Kandy,2002,11,27,373.6,1
Landslide,Idamegama(GN),Badulla,2002,4,29,169.0,0
Landslide,Rakwana South(GN),Ratnapura,2002,5,17,473.2,0
Landslide,Aniwatta West(GN),Kandy,2002,10,11,469.2,1
Landslide,Meegahawela(GN),Ratnapura,2002,11,19,547.8,0
Landslide,Liyanagoda(GN),Ratnapura,2002,11,19,547.8,0
Landslide,Opanayaka,Ratnapura,2002,11,19,547.8,1
Landslide,Nugagaha Kivula(GN),Monaragala,2002,3,4,103.0,1
Landslide,Mahakanda(GN),Kandy,2002,10,11,469.2,0
Landslide,Haldummulla,Badulla,2002,11,9,279.0,0
Landslide,Polpithigama,Kurunegala,2002,5,4,194.0,0
Landslide,Hatharaliyadda,Kandy,2002,11,26,373.6,1
Landslide,Meegahawela(GN),Ratnapura,2002,11,19,547.8,1
Landslide,Kandy Four Gravets & Gangawata,Kandy,2002,11,10,373.6,1
Landslide,Pallewawwa(GN),Hambantota,2002,8,5,64.0,1
Landslide,Udadumbara,Kandy,2002,2,5,148.2,0
Landslide,Labuhenwala(GN),Kandy,2002,10,11,469.2,0
Landslide,Thennewela(GN),Kandy,2002,10,11,469.2,0
Landslide,Walasmulla(GN),Hambantota,2002,5,18,114.0,0
Landslide,Udailuka(GN),Kandy,2002,10,2,469.2,0
Landslide,Bathgoda,Badulla,2002,9,11,130.0,0
Landslide,Bathgoda,Badulla,2002,9,11,130.0,1
Landslide,Beragala(GN),Badulla,2002,9,11,130.0,0
Landslide,Koslanda(GN),Badulla,2002,6,5,54.0,0
Landslide,Imbulpe,Ratnapura,2002,10,5,561.4,0
Landslide,Mahakanda(GN),Kandy,2002,10,11,469.2,1
Landslide,Godakawela,Ratnapura,2002,5,17,473.2,1
Landslide,Okewela,Hambantota,2002,5,8,114.0,0
Landslide,Rakwana South(GN),Ratnapura,2002,5,17,473.2,1
Landslide,Demodara(GN),Badulla,2002,4,23,169.0,1
Landslide,Udadumbara,Kandy,2002,2,10,148.2,1
Landslide,Nattarampotha(GN),Kandy,2002,11,27,373.6,0
Landslide,Kundasale,Kandy,2002,11,27,373.6,1
Landslide,Weeraketiya,Hambantota,2002,5,18,114.0,0
Landslide,Padupola(GN),Kandy,2002,5,2,302.6,1
Landslide,Hatharaliyadda,Kandy,2002,11,26,373.6,0
