Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
FLOOD,1,1002,001002018,Telangapatha (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,001002018,Wattala (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,4,4001,004001003,Karampon West(GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,004001003,Naranthanai North(GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,7,7002,,Welikanda,Polannaruwa,2000-11-19,2000,11,19,262.3,7.3
FLOOD,4,4001,004001003,Naranthanai North West(GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,004001003,Naranthanai (GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,004001003,Naranthanai South(GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,004001003,Suruvil(GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
STRONG WIND,4,4001,004001042,Delft Centre(GN),Jaffna,2006-10-28,2006,10,28,335.8,11.4
STRONG WIND,4,4001,004001042,Delft West(GN),Jaffna,2006-10-28,2006,10,28,335.8,11.4
FLOOD,1,1002,001002018,Ewariwatta (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1001,001001027,Wijerama Mw,Colombo,2007-03-05,2007,3,5,130.0,6.0
FLOOD,1,1001,001001027,colombo 7/Cinaman Grand,Colombo,2007-03-05,2007,3,5,130.0,6.0
FLOOD,4,4001,004001003,Puliyankoodal(GN),Jaffna,2008-03-19,2008,3,19,56.1,9.6
FLOOD,4,4001,004001021,Karanavai(GN),Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,4,4005,004005009,Anaivilunthankulam(GN),Kilinochchi,2008-10-03,2008,10,3,319.9,10.9
FLOOD,1,1002,001002018,Uswetakeiyawa (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,003001021,Mawita(GN),Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,3,3001,003001021,Batuwangala West(GN),Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,1,1002,001002018,Elapitiwala (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,003001024,Nagoda Ihala(GN),Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,3,3001,003001024,Kurupanawa(GN),Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,1,1002,001002018,Balagala (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,5,5002,005002051,Lahugala,Ampara,2000-01-01,2000,1,1,271.1,9.6
FLOOD,5,5002,005002051,Panama(GN),Ampara,2000-01-01,2000,1,1,271.1,9.6
STRONG WIND,1,1002,001002024,Henarathgoda(GN),Gampaha,2007-04-22,2007,4,22,112.0,7.1
STRONG WIND,1,1002,001002024,Bendiyamulla(GN),Gampaha,2007-04-22,2007,4,22,112.0,7.1
STRONG WIND,2,2002,002002009,Naula(GN),Matale,2007-08-29,2007,8,29,109.0,8.8
FLOOD,4,4001,004001021,Thunnalai West(GN),Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,4,4001,004001021,Nelliyady North(GN),Jaffna,2008-03-26,2008,3,26,56.1,9.6
FLOOD,4,4001,004001042,Delft West(GN),Jaffna,2008-03-28,2008,3,28,56.1,9.6
GALE,2,2002,002002009,Elagamuwa(GN),Matale,2007-09-15,2007,9,15,112.0,8.2
STRONG WIND,1,1002,001002024,Nedungamuwa(GN),Gampaha,2007-04-22,2007,4,22,112.0,7.1
GALE,2,2002,002002009,Nalanda(GN),Matale,2007-10-28,2007,10,28,341.0,5.1
FLOOD,4,4001,004001042,Delft South(GN),Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,4,4001,004001042,Delft Centre West(GN),Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,4,4001,004001042,Delft Centre(GN),Jaffna,2008-03-28,2008,3,28,56.1,9.6
FLOOD,4,4001,004001042,Delft East(GN),Jaffna,2008-03-28,2008,3,28,56.1,9.6
GALE,2,2002,002002009,Bambaragahawatta(GN),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1002,001002018,Pattiyawala (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,3,3001,003001018,Habarakada(GN),Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,3,3001,003001018,Hiniduma North(GN),Galle,2008-01-06,2008,1,6,76.0,7.4
FLOOD,1,1002,001002018,Welikadamulla (GN),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1003,001003003,Panadura,Kaluthara,2004-09-25,2004,9,25,111.8,12.2
GALE,8,8002,008002009,Aiwela(GN),Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,8,8002,008002009,Ilukkumbura(GN),Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,8,8002,008002009,Pitadeniya(GN),Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,8,8002,008002009,Elhena(GN),Monaragala,2005-07-01,2005,7,1,113.0,11.2
GALE,8,8002,008002009,Diviyapola(GN),Monaragala,2005-12-01,2005,12,1,235.0,7.7
GALE,8,8002,008002009,Ellekona(GN),Monaragala,2005-12-01,2005,12,1,235.0,7.7
GALE,8,8002,008002009,Dahagoniya(GN),Monaragala,2005-12-01,2005,12,1,235.0,7.7
